name,competition_density,novelty_score,market_growth,pain_severity,monetization_signal,description_quality,topic_diversity,votes,label
Agent 37,0.49032410979270935,0.4534,0.56,0.2,0.2,0.76,0.5499999999999999,299,1
Lemon,0.4858676791191101,0.4939,0.32,0.2,0.2,0.56,0.4,237,1
Struct,0.4393971562385559,0.5335,0.44,0.2,0.2,0.35,0.5499999999999999,230,1
Socra,0.40823087096214294,0.576,0.44,0.2,0.2,0.41,0.7,170,1
Campee,0.36677974462509155,0.615,0.32,0.2,0.30000000000000004,0.36,0.5499999999999999,141,1
Tellus,0.3068116307258606,0.6656,0.2,0.2,0.2,0.35,0.4,131,1
OpenMolt,0.5354227423667908,0.428,0.44,0.2,0.2,0.53,0.7,115,1
Startup Archive,0.3265722095966339,0.6396,0.2,0.2,0.2,0.35,0.5499999999999999,113,1
AI Website Redesign by Shuffle,0.4582124650478363,0.5079,0.32,0.2,0.2,0.2,0.4,111,1
Docket,0.508114218711853,0.4738,0.44,0.2,0.2,0.6799999999999999,0.5499999999999999,106,1
Rainfrog,0.3306918740272522,0.633,0.32,0.2,0.2,0.56,0.5499999999999999,104,1
Lingofable,0.4144367277622223,0.553,0.2,0.44,0.2,0.62,0.5499999999999999,104,1
MyNextBrowser,0.47717419266700745,0.4915,0.32,0.2,0.2,0.62,0.5499999999999999,93,1
Gramms,0.3524714410305023,0.6166,0.2,0.2,0.2,0.47,0.4,35,1
Namespace SEO Studio,0.41259974241256714,0.5483,0.32,0.2,0.2,0.56,0.7,26,1
Sendrise,0.4039091467857361,0.5793,0.44,0.2,0.4,0.47,0.5499999999999999,26,1
Billable for macOS,0.41813015937805176,0.5542,0.32,0.2,0.30000000000000004,0.82,0.5499999999999999,20,1
Letterbase,0.3368656635284424,0.6255,0.32,0.2,0.30000000000000004,0.47,0.5499999999999999,10,1
MindStash,0.4502035081386566,0.5172,0.44,0.2,0.2,0.36,0.5499999999999999,8,1
SuprFlow,0.3810475766658783,0.5669,0.32,0.2,0.2,0.76,0.5499999999999999,8,1
50K+ Shopify Store Database,0.38121670484542847,0.5506,0.32,0.2,0.4,0.7,0.5499999999999999,6,1
Freelancyo,0.38904887437820435,0.5874,0.2,0.2,0.2,0.27,0.25,4,1
ShipItOnce,0.3716496527194977,0.5769,0.32,0.2,0.2,0.26,0.5499999999999999,4,1
GyftPro — AI-Powered Social Gifting,0.45232534408569336,0.5068,0.32,0.2,0.2,0.6799999999999999,0.5499999999999999,4,1
DevRamp AI ,0.4750751852989197,0.5047,0.44,0.32,0.2,0.56,0.5499999999999999,4,1
OGWriter.com,0.43742141127586365,0.5293,0.32,0.2,0.2,0.47,0.5499999999999999,3,1
DocQuest,0.5273687243461609,0.4191,0.44,0.2,0.2,0.55,0.5499999999999999,3,1
Dreams Game Engine,0.4099270701408386,0.5586,0.32,0.2,0.2,0.7,0.5499999999999999,3,1
BirdDex,0.3724329471588135,0.6107,0.32,0.32,0.2,0.76,0.5499999999999999,3,1
AnalyVa,0.3557492196559906,0.6209,0.32,0.2,0.2,0.41,0.4,3,1
Steam Sales Dashboard,0.38018709421157837,0.5825,0.32,0.2,0.4,0.41,0.7,3,1
MyPerfumeAI,0.4323124885559082,0.543,0.32,0.2,0.2,0.76,0.5499999999999999,3,1
Palmiqi,0.37901103496551514,0.5834,0.44,0.2,0.2,0.62,0.7,3,1
EuroCoder,0.5286126136779785,0.4392,0.44,0.2,0.30000000000000004,0.7,0.7,3,1
EditlyCMS,0.344939261674881,0.6421,0.2,0.2,0.30000000000000004,0.56,0.25,2,1
Freelance CRM Nextjs 14 React Template,0.3571213185787201,0.615,0.32,0.2,0.6000000000000001,0.5,0.4,2,1
Bin Diving,0.4074631631374359,0.5768,0.2,0.2,0.2,0.35,0.4,2,1
Clowd,0.3848085403442383,0.604,0.32,0.2,0.30000000000000004,0.27,0.4,2,1
ReportCast,0.47099798917770386,0.4876,0.44,0.2,0.4,0.82,0.7,2,1
YourToolsKit,0.4870358109474182,0.4411,0.56,0.2,0.2,0.55,0.5499999999999999,2,1
Mallo — Speak. It types at your cursor.,0.37793615460395813,0.5781,0.44,0.2,0.2,0.5,0.5499999999999999,2,1
Text Vault,0.3692016005516052,0.6071,0.44,0.2,0.2,0.76,0.5499999999999999,2,1
CruiseKick,0.3737320899963379,0.5993,0.2,0.2,0.2,0.76,0.5499999999999999,2,1
Ai pdfzio,0.5642176866531372,0.4178,0.44,0.2,0.30000000000000004,0.47,0.5499999999999999,2,1
Stacko: stack it up!,0.3007848262786865,0.677,0.2,0.32,0.2,0.56,0.7,2,1
Vittl AI: Pocket Chef,0.41776174306869507,0.5433,0.32,0.2,0.2,0.21,0.4,2,1
Ship Superfast,0.42550796270370483,0.5563,0.32,0.2,0.30000000000000004,0.41,0.7,2,1
Eco Power Towns,0.26724162697792053,0.6971,0.2,0.2,0.2,0.41,0.5499999999999999,2,1
unHinged,0.25785547494888306,0.7062,0.2,0.2,0.2,0.35,0.25,2,1
Filla,0.2433382272720337,0.7428,0.44,0.2,0.30000000000000004,0.55,0.4,2,1
Memory Dare: First or Worst,0.2678290009498596,0.7122,0.32,0.32,0.2,0.56,0.7,2,1
