competitor_count,avg_similarity,opportunity_count,risk_count,missing_feature_count,target_score
13,0.561,7,3,8,100.0
9,0.714,9,8,10,100.0
15,0.717,9,3,9,100.0
1,0.661,5,6,5,97.47
5,0.186,10,5,7,100.0
14,0.314,7,0,0,100.0
0,0.298,1,7,0,70.55
15,0.548,9,10,0,70.3
4,0.872,5,0,10,100.0
11,0.407,9,0,9,100.0
10,0.308,7,9,6,90.3
14,0.869,3,1,2,68.28
4,0.811,10,8,6,100.0
19,0.478,4,0,5,84.05
4,0.483,10,4,5,100.0
17,0.289,3,5,9,74.78
18,0.281,1,7,3,40.98
11,0.653,10,9,6,97.67
16,0.441,3,10,1,36.98
1,0.121,8,10,10,100.0
6,0.639,6,1,4,100.0
10,0.116,8,8,0,93.1
7,0.579,6,0,8,100.0
7,0.154,3,3,8,100.0
8,0.205,8,2,1,100.0
5,0.805,10,4,4,100.0
8,0.726,10,8,7,100.0
3,0.915,9,5,7,100.0
11,0.504,7,6,6,95.4
14,0.533,10,7,6,100.0
3,0.429,7,7,8,100.0
5,0.665,2,3,2,77.38
0,0.336,3,2,3,100.0
0,0.103,9,3,0,100.0
4,0.76,8,5,9,100.0
3,0.406,3,6,3,83.85
13,0.962,1,1,10,71.95
14,0.893,10,3,4,100.0
5,0.743,4,1,5,100.0
3,0.549,7,5,5,100.0
1,0.122,2,10,5,76.95
13,0.538,4,8,10,72.55
15,0.977,3,8,8,47.58
3,0.445,7,10,3,90.88
12,0.14,2,2,4,84.5
6,0.607,9,3,0,100.0
11,0.593,7,8,4,81.17
6,0.118,3,7,2,79.05
16,0.446,10,7,2,92.85
4,0.566,9,6,0,100.0
0,0.687,10,9,9,100.0
18,0.948,1,2,3,44.3
1,0.548,9,8,3,100.0
20,0.624,2,2,6,60.4
0,0.503,1,7,0,65.42
9,0.901,2,10,8,47.47
9,0.503,1,4,9,77.42
8,0.165,10,2,6,100.0
9,0.777,1,6,8,60.58
1,0.58,2,8,4,71.5
4,0.948,6,7,2,80.3
10,0.902,6,4,3,83.45
18,0.904,8,10,2,53.4
11,0.634,4,10,9,64.15
19,0.599,5,9,2,45.02
10,0.327,3,0,2,93.83
5,0.263,6,3,8,100.0
8,0.455,3,9,8,70.62
8,0.381,3,0,2,96.47
13,0.484,6,10,4,65.9
11,0.384,10,3,4,100.0
16,0.51,1,9,5,35.25
2,0.644,8,5,2,100.0
4,0.969,2,0,8,95.78
16,0.411,6,5,1,75.72
11,0.767,9,3,2,100.0
3,0.742,7,0,5,100.0
19,0.958,4,1,4,66.05
15,0.17,1,2,2,67.75
19,0.639,4,8,10,58.02
13,0.216,4,10,7,66.6
9,0.966,5,6,4,71.85
8,0.411,3,10,8,67.72
6,0.444,10,9,5,100.0
18,0.502,3,0,7,83.45
11,0.365,5,1,8,100.0
8,0.808,6,3,3,93.8
5,0.701,9,2,0,100.0
9,0.913,4,4,7,81.17
3,0.493,3,1,9,100.0
6,0.354,2,4,7,89.15
9,0.797,9,4,2,100.0
9,0.519,0,8,9,55.03
14,0.848,7,1,3,94.8
8,0.119,5,2,3,100.0
16,0.796,8,7,6,80.1
1,0.941,6,2,0,100.0
19,0.55,2,0,2,64.25
2,0.466,10,0,5,100.0
6,0.302,8,4,0,100.0
12,0.812,1,10,3,27.7
8,0.279,3,5,4,83.03
7,0.977,3,6,3,61.58
0,0.798,2,3,10,100.0
0,0.449,9,9,1,100.0
15,0.709,6,8,10,76.28
2,0.646,6,1,5,100.0
9,0.344,1,5,8,75.4
11,0.129,9,4,8,100.0
11,0.958,9,5,5,98.05
1,0.303,9,6,9,100.0
17,0.825,7,6,1,65.38
