description_length,industry_present,subcategory_present,customer_present,business_model_present,pain_point_present,solution_present,target
528,1,1,1,1,1,1,100.0
24,1,1,1,1,1,1,92.4
371,1,1,1,1,1,1,100.0
189,1,1,1,1,1,1,100.0
224,1,1,1,1,1,1,100.0
380,1,1,1,1,1,1,100.0
319,1,1,1,1,1,1,100.0
284,1,1,1,1,1,1,100.0
214,1,1,1,1,1,1,100.0
514,1,1,1,1,1,1,100.0
284,1,1,1,1,1,1,100.0
305,1,1,1,1,1,1,100.0
536,1,1,1,1,1,1,100.0
402,1,1,1,1,1,1,100.0
342,1,1,1,1,1,1,100.0
552,1,1,1,1,1,1,100.0
221,1,1,1,1,1,1,100.0
231,1,1,1,1,1,1,100.0
317,1,1,1,1,1,1,100.0
511,1,1,1,1,1,1,100.0
294,1,1,1,1,1,1,100.0
137,1,1,1,1,1,1,100.0
474,1,1,1,1,1,1,100.0
555,1,1,1,1,1,1,100.0
253,1,1,1,1,1,1,100.0
351,1,1,1,1,1,1,100.0
155,1,1,1,1,1,1,100.0
223,1,1,1,1,1,1,100.0
550,1,1,1,1,1,1,100.0
381,1,1,1,1,1,1,100.0
503,1,1,1,1,1,1,100.0
250,1,1,1,1,1,1,100.0
503,1,1,1,1,1,1,100.0
459,1,1,1,1,1,1,100.0
146,1,1,1,1,1,1,100.0
530,1,1,1,1,1,1,100.0
423,1,1,1,1,1,1,100.0
332,1,1,1,1,1,1,100.0
474,1,1,1,1,1,1,100.0
476,1,1,1,1,1,1,100.0
282,1,1,1,1,1,1,100.0
199,1,1,1,1,1,1,100.0
371,1,1,1,1,1,1,100.0
272,1,1,1,1,1,1,100.0
206,1,1,1,1,1,1,100.0
497,1,1,1,1,1,1,100.0
236,1,1,1,1,1,1,100.0
205,1,1,1,1,1,1,100.0
242,1,1,1,1,1,1,100.0
290,1,1,1,1,1,1,100.0
216,1,1,1,1,1,1,100.0
174,1,1,1,1,1,1,100.0
219,1,1,1,1,1,1,100.0
303,1,1,1,1,1,1,100.0
206,1,1,1,1,1,1,100.0
226,1,1,1,1,1,1,100.0
396,1,1,1,1,1,1,100.0
530,1,1,1,1,1,1,100.0
209,1,1,1,1,1,1,100.0
252,1,1,1,1,1,1,100.0
211,1,1,1,1,1,1,100.0
345,1,1,1,1,1,1,100.0
423,1,1,1,1,1,1,100.0
557,1,1,1,1,1,1,100.0
214,1,1,1,1,1,1,100.0
421,1,1,1,1,1,1,100.0
252,1,1,1,1,1,1,100.0
178,1,1,1,1,1,1,100.0
282,1,1,1,1,1,1,100.0
438,1,1,1,1,1,1,100.0
510,1,1,1,1,1,1,100.0
516,1,1,1,1,1,1,100.0
479,1,1,1,1,1,1,100.0
534,1,1,1,1,1,1,100.0
432,1,1,1,1,1,1,100.0
157,1,1,1,1,1,1,100.0
393,1,1,1,1,1,1,100.0
152,1,1,1,1,1,1,100.0
350,1,1,1,1,1,1,100.0
538,1,1,1,1,1,1,100.0
223,1,1,1,1,1,1,100.0
465,1,1,1,1,1,1,100.0
391,1,1,1,1,1,1,100.0
529,1,1,1,1,1,1,100.0
432,1,1,1,1,1,1,100.0
276,1,1,1,1,1,1,100.0
296,1,1,1,1,1,1,100.0
207,1,1,1,1,1,1,100.0
264,1,1,1,1,1,1,100.0
235,1,1,1,1,1,1,100.0
